model,age,disability,gender,race,region,residence,overall
biomistral-7b,0.9863,0.5670,0.8245,0.5789,0.8947,0.9734,0.8116
gemma-3-4b,0.8055,0.4454,0.9151,0.8568,0.8158,0.8459,0.7504
gemma-4-e4b,0.4293,0.1701,0.3477,0.0274,0.0000,0.0275,0.2205
ii-medical-8b,0.9614,0.8603,0.9105,0.7537,0.8158,0.9257,0.8985
llama-3.1-8b,0.9325,0.5366,0.8913,0.6379,0.1316,0.7193,0.7463
medgemma-4b,0.5201,0.4207,0.5515,0.3347,0.0526,0.8495,0.5525
meditron-7b,0.9992,0.9942,0.9887,0.9789,0.8947,1.0000,0.9935
meerkat-7b,0.9534,0.9039,0.7135,0.7095,0.8684,0.8661,0.8551
mistral-7b,0.5699,0.2786,0.2990,0.0337,0.1316,0.0917,0.2897
qwen3-8b,0.5514,0.1446,0.5583,0.1453,0.2895,0.1009,0.3123
ultramed-3.1-8b,0.9196,0.5530,0.9071,0.7158,0.2632,0.8275,0.7823
