model,age_elder,age_young,disability_healthy,disability_neuro_cognitive,gender_female,gender_male,race_african_american,race_white,region_midwest,region_northeast,residence_stable_housing,residence_unstable_housing
biomistral-7b,0.9812,0.9917,0.2043,0.9841,0.821,0.8357,0.9167,0.3941,0.8571,0.9412,0.9032,0.9754
gemma-3-4b,0.9953,0.605,0.0169,0.9382,0.9482,0.8068,0.9762,0.7915,0.7619,0.8824,0.0645,0.8687
gemma-4-e4b,0.6041,0.2446,0.0108,0.3534,0.4038,0.1643,0.0714,0.0033,0.0,0.0,0.0,0.0283
ii-medical-8b,0.9484,0.9752,0.7972,0.9329,0.9482,0.7874,0.7976,0.7296,0.7143,0.9412,0.871,0.9273
llama-3.1-8b,0.9484,0.9157,0.1598,0.97,0.9615,0.6618,0.8988,0.4951,0.1905,0.0588,0.9032,0.7139
medgemma-4b,0.8341,0.1884,0.1045,0.7845,0.608,0.3671,0.3333,0.3355,0.0952,0.0,0.1613,0.8697
meditron-7b,0.9984,1.0,0.9892,1.0,0.9852,1.0,0.9643,0.987,0.8095,1.0,1.0,1.0
meerkat-7b,0.9374,0.9702,0.8587,0.9558,0.7959,0.4444,0.3452,0.9088,0.8095,0.9412,1.0,0.8621
mistral-7b,0.5258,0.6165,0.0338,0.5601,0.318,0.2367,0.0893,0.0033,0.1429,0.1176,0.0323,0.0935
qwen3-8b,0.5509,0.5521,0.0829,0.2155,0.6272,0.3333,0.1726,0.1303,0.2381,0.3529,0.129,0.1001
ultramed-3.1-8b,0.9014,0.9388,0.3763,0.7562,0.9601,0.7343,0.9464,0.5896,0.1905,0.3529,0.9355,0.8244
