model,status,acc_q1,acc_q2,acc_q3,acc_overall,unparsed_cells
biomistral-7b,ok,0.8906,0.8697,0.7056,0.8220,0
gemma-3-4b,ok,0.8824,0.9176,0.9056,0.9019,0
gemma-4-e4b,ok,0.8150,0.8547,0.8824,0.8507,0
ii-medical-8b,ok,0.8097,0.8150,0.9468,0.8572,3
llama-3.1-8b,ok,0.8285,0.8614,0.9228,0.8709,0
medgemma-4b,ok,0.9071,0.9371,0.8682,0.9041,0
meditron-7b,ok,0.8404,0.7708,0.5124,0.7079,0
meerkat-7b,ok,0.7521,0.8135,0.7438,0.7698,406
mistral-7b,ok,0.9034,0.9228,0.8839,0.9034,0
qwen3-8b,ok,0.7288,0.7071,0.8517,0.7625,0
ultramed-3.1-8b,ok,0.7341,0.7753,0.8839,0.7978,0
